,age,gender,scholarship,1st_year,gpa,1st_time,taste,importance,expected_grade,knowledge,cluster
117,19,1,0,1,22,1,3,3,18,0,1
118,21,0,0,1,21,1,2,4,19,0,0
119,20,0,0,1,20,1,4,5,19,0,2
120,20,1,0,1,23,1,4,5,27,1,2
121,21,0,0,1,21,0,3,5,24,0,0
122,20,1,0,1,26,1,4,5,23,1,2
123,20,0,0,1,27,1,4,4,23,0,2
124,20,1,0,1,24,1,4,4,17,1,2
125,20,0,0,1,21,1,4,4,20,1,2
126,20,0,0,1,27,1,4,5,17,1,2
127,20,1,0,1,21,1,3,4,22,0,1
128,20,1,0,1,25,1,3,4,23,0,1
129,23,1,0,1,24,1,4,3,23,0,0
130,19,0,0,1,17,1,4,4,23,0,2
131,19,1,0,1,26,1,4,4,23,0,1
132,19,0,0,1,30,1,4,4,19,1,2
133,19,1,0,1,26,1,3,4,23,0,1
134,20,1,0,1,21,1,4,4,23,0,2
135,19,0,0,1,26,1,3,4,21,0,1
136,20,0,0,1,28,1,4,5,22,0,2
137,20,1,0,1,26,1,3,3,19,1,1
138,20,1,0,1,22,1,3,3,21,1,1
139,22,1,0,1,18,1,3,4,17,0,0
140,19,1,0,1,26,1,3,5,24,0,1
141,23,0,0,1,28,1,4,4,24,0,2
142,19,0,0,1,26,1,4,4,18,0,2
143,19,1,1,1,27,1,4,4,23,0,1
144,20,1,0,1,29,1,3,4,21,0,1
145,20,1,0,1,27,1,5,5,24,0,2
146,19,1,0,1,27,1,3,4,22,0,1
147,19,1,0,1,24,1,3,3,24,0,1
148,19,1,0,1,24,1,3,5,20,0,1
149,19,0,0,1,26,1,3,4,19,1,2
150,22,1,0,1,22,1,3,4,20,1,2
151,19,0,0,1,25,1,4,5,21,0,2
152,19,1,0,1,23,1,3,4,23,0,1
153,25,0,0,1,17,1,4,4,22,0,0
