,age,gender,scholarship,1st_year,gpa,1st_time,taste,importance,expected_grade,knowledge,treated,grade_goal,confidence,anxiety,time,exam_date
112,19,1,0,1,25,1,3,3,23,0,1,24,3,3,4,1
114,19,1,0,1,24,1,4,4,20,1,0,28,4,3,4,1
116,19,1,0,1,25,1,3,4,19,1,1,23,3,3,6,1
117,19,1,0,1,22,1,3,3,18,0,0,30,3,4,6,1
118,21,0,0,1,21,1,2,4,19,0,0,18,3,3,3,1
119,20,0,0,1,20,1,4,5,19,0,0,18,3,3,3,1
120,20,1,0,1,23,1,4,5,27,1,1,25,4,2,6,1
122,20,1,0,1,26,1,4,5,23,1,0,27,3,4,4,1
123,20,0,0,1,27,1,4,4,23,0,1,25,5,3,5,1
124,20,1,0,1,24,1,4,4,17,1,0,25,4,5,5,1
125,20,0,0,1,21,1,4,4,20,1,0,20,4,2,5,1
126,20,0,0,1,27,1,4,5,17,1,1,24,5,4,6,1
127,20,1,0,1,21,1,3,4,22,0,1,22,4,3,6,2
128,20,1,0,1,25,1,3,4,23,0,0,27,3,4,5,2
129,23,1,0,1,24,1,4,3,23,0,1,24,3,3,4,1
130,19,0,0,1,17,1,4,4,23,0,1,18,3,4,5,1
131,19,1,0,1,26,1,4,4,23,0,0,31,4,3,5,1
132,19,0,0,1,30,1,4,4,19,1,1,31,4,3,3,1
133,19,1,0,1,26,1,3,4,23,0,0,25,4,4,5,1
134,20,1,0,1,21,1,4,4,23,0,1,21,3,5,5,1
135,19,0,0,1,26,1,3,4,21,0,1,22,3,4,4,1
136,20,0,0,1,28,1,4,5,22,0,0,27,3,4,5,1
137,20,1,0,1,26,1,3,3,19,1,1,26,1,2,6,1
138,20,1,0,1,22,1,3,3,21,1,1,22,2,3,4,1
139,22,1,0,1,18,1,3,4,17,0,0,22,3,5,5,2
140,19,1,0,1,26,1,3,5,24,0,1,25,4,5,6,1
141,23,0,0,1,28,1,4,4,24,0,1,25,4,3,5,1
142,19,0,0,1,26,1,4,4,18,0,1,25,5,2,4,1
144,20,1,0,1,29,1,3,4,21,0,0,30,5,3,5,2
145,20,1,0,1,27,1,5,5,24,0,1,31,5,3,6,1
146,19,1,0,1,27,1,3,4,22,0,0,27,3,4,5,1
147,19,1,0,1,24,1,3,3,24,0,1,22,4,4,5,1
148,19,1,0,1,24,1,3,5,20,0,1,23,4,4,5,1
149,19,0,0,1,26,1,3,4,19,1,1,19,3,3,4,2
150,22,1,0,1,22,1,3,4,20,1,0,27,4,3,4,1
151,19,0,0,1,25,1,4,5,21,0,0,29,4,4,3,1
152,19,1,0,1,23,1,3,4,23,0,1,20,4,5,6,1
